adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/kegX0jYURZSs4uKGcyC2XOL9skc.jpg,"[10749, 14]",1555769,Last Words,zh,最後說的話,"Vivian and Joshua, who haven’t seen each other for a long time, separately seek out Tien in private to ask for advice about whether they should break up with the other. As Tien listens to them talk on and on, she also begins to have some thoughts of her own.",1.2927,/aV9HZNSLu5FyNEGeSZhazjDwoVu.jpg,2026-07-11,False,False,0.0,0
False,/mwxYdfqvT7ovX281WOZIySJUanf.jpg,[18],37736,Take Out,zh,Take Out,An illegal Chinese immigrant falls behind on payments on an enormous smuggling debt. Ming Ding has only until the end of the day to come up with the money.,1.5616,/hBpAozLANehQQnvTPcCHcKQt2vP.jpg,2026-07-08,False,False,7.0,46
False,/cRtFsijFloplP2tjvP8ndlqFiqC.jpg,"[16, 28, 14, 18, 35]",333622,Beyond the Boundary: I'll Be Here – Future,ja,劇場版 境界の彼方 -I'll Be Here- 未来篇,"The battle is over, and they can go about their normal lives now... or so they thought. With no time to rejoice after miraculously saving Mirai from Beyond the Boundary, Mirai lost all her memories. Akihito, now a high school senior, starts to avoid Mirai thinking it’s for the better. Not aware of Akihito’s feelings, Mirai tries to get closer to Akihito. Then, someone who knows of Mirai appears in front of the two. With Akihito’s troubles in vain, Mirai once again sets forth on a battle that forces her to look within.",1.5417,/qkXH0FuFEMVbEcX9ypFA9tQhlzl.jpg,2026-07-17,False,False,7.4,101
False,,[10402],1726071,&TEAM VR CONCERT : BOUNDLESS,ja,&TEAM VR CONCERT : BOUNDLESS,"Captured by a mysterious organization, &TEAM is locked away in a secret laboratory. The moment their untamable nature awakens, they choose escape.  Encountering LUNÉ within the shadows of the city, they quietly reclaim their lost selves.  From 'Back to Life,' which awakens their wild instincts, through 'We on Fire,' where the wolves' energy burns bright, and finally to 'BUZZ LOVE,' where they finally rediscover their memories and emotions to share with LUNÉ!  The story that only truly begins after the escape.  <&TEAM VR CONCERT : BOUNDLESS>  We invite you into that world without boundaries.",1.2443,/6TxMlNUZw951eyjpFYWr7GXItPP.jpg,2026-06-26,False,False,0.0,0
False,/bfm7qqcJQvFB2ifjVqQsn4U3ADS.jpg,[18],1580374,Cry Out,ja,未来,"Akiko, a girl living a hard life after her father passes away and her mother's new boyfriend turns abusive, starts receiving encouraging letters from her 30-year-old-future self. Akiko also starts to get bullied in school, and her teacher Shinomiya tries to help her, but ends up losing her job. Akiko also unearths a story written to her by her father, telling her how he originally met her mother, who was the abused daughter of a politician.",0.9889,/dTW2DeY83StL4pBmYjnEo9j1T2B.jpg,2026-07-24,False,False,0.0,0
False,/b5DHrc92QvfECJPnIPOeakKJbS1.jpg,"[18, 10751]",316880,The Dull-Ice Flower,zh,魯冰花,"Ku Ah-ming is a 4th grader at Chungshan Elementary School in Shuiyu Township, Taiwan. Despite being not very good in most subjects at school, he is very talented in art and has a great imagination, though most teachers don't know what he's expressing in his artwork.",1.3373,/5VbCAUESrofnCMJrcOx5lhfR6xF.jpg,1989-08-26,False,False,8.3,10
False,/eST8x9SrX3UyPycTDzh3CE0TIj1.jpg,"[16, 14, 28, 18, 35]",311056,Beyond the Boundary: I'll Be Here – Past,ja,劇場版 境界の彼方 -I'll Be Here- 過去篇,"It all began quite suddenly. Akihito, who appears human but is actually half yomu with the power to quickly heal himself, sees a freshman girl who appears ready to jump from the school rooftop. The girl, Mirai, who has the ability to manipulate blood, which is unique even among members of the spirit world, continues to fight her isolation. Akihito decides at that moment to save Mirai, but disturbing events soon begin to unfold.",1.2621,/zO300yKOvqXnJD7973mJxaS6R65.jpg,2026-07-17,False,False,6.9,87
False,/nqV8fclCjNDmWFq5YfD3Xwjdqex.jpg,[18],1557893,Kyojo Requiem,ja,教場 Requiem,,0.9512,/cFwpQtlUM63U0AKpwet7OPrL7HA.jpg,2026-06-26,False,False,0.0,0
False,/5NagNcNHcZII08ijFjvSj8fgD86.jpg,[18],1657504,"Rhapsody, Rhapsody",ja,ラプソディ・ラプソディ,"When Mikio Natsuno obtains a residency certificate, he is stunned to find the name of a woman he has never met listed as his wife. Apparently, he has been ""married"" for six months without knowing it. Who on earth is the stranger who decided to become his wife? After a frantic search, Mikio finally discovers her—an eccentric young woman with a striking personality who simply says, ""I thought I could keep myself together if I were at least married,"" oﬀering no further explanation. And so, their uneven, unpredictable relationship slowly begins to take shape.",0.6142,/7FGvkiqno4dcYF3BQ5WE2SZzyhg.jpg,2026-07-03,False,False,0.0,0
False,/z8W1NEn7jjqNJsfdwqmyYPgSoxi.jpg,"[18, 10749]",1593275,Hito wa Naze Love Letter wo Kaku no ka,ja,人はなぜラブレターを書くのか,"A woman writes a letter to a young man, leading to a correspondence with his father that unveils the truth of a 24-year-old high school romance, his son's death, and the power of love letters.",0.9195,/6qfSXke7BoD7713u64CzrmKdZDR.jpg,2026-07-10,False,False,0.0,0
False,,"[18, 14]",1717299,Cristin,zh,Cristin,,0.429,/tHFKLL9P8o405tWPCxQbbURa1Ya.jpg,2026-06-17,False,False,0.0,0
False,/9eMrEw1bo9lCDFCuvQXhLTpAsyG.jpg,"[18, 9648, 27]",1530325,The Bird Is Calling,ja,火喰鳥を、喰う,"Yuji and Yuriko's peaceful life shatters when an old diary belonging to Yuji's great-uncle Sadaichi, who died in the war, is discovered. The pages are full of an obsession with life... and one strange phrase: ""I want to devour the bird—Hikuidori."" From that day on, eerie phenomena start to haunt those connected to the diary. As the nightmare deepens, a strong will to live—once buried with Sadaichi—begins to twist the past and bleed into reality.",0.3965,/lX8NYv8o8nESI0d7IIuoZSMcpri.jpg,2026-07-03,False,False,7.667,3
